Month,PartyPair,Party,InterjectionScore,speech_tokens,interjection_rate
2024-01,SPD–>GRUENE,GRUENE,18.0,56185,3.203702055708819
2024-02,FDP–>GRUENE,GRUENE,0.0,51155,0.0
2024-02,FDP–>SPD,SPD,8.0,74235,1.077658786286792
2024-02,GRUENE–>FDP,FDP,4.0,45426,0.8805529872760094
2024-02,GRUENE–>SPD,SPD,10.0,74235,1.34707348285849
2024-02,SPD–>FDP,FDP,15.0,45426,3.302073702285035
2024-02,SPD–>GRUENE,GRUENE,10.0,51155,1.954843123839312
2024-03,FDP–>GRUENE,GRUENE,2.0,55816,0.35832019492618605
2024-03,FDP–>SPD,SPD,6.0,101898,0.588824118235883
2024-03,GRUENE–>FDP,FDP,13.0,44505,2.9210201100999886
2024-03,GRUENE–>SPD,SPD,28.0,101898,2.747845885100787
2024-03,SPD–>FDP,FDP,15.0,44505,3.370407819346141
2024-03,SPD–>GRUENE,GRUENE,13.0,55816,2.3290812670202095
2024-04,FDP–>GRUENE,GRUENE,6.0,62396,0.9616001025706776
2024-04,FDP–>SPD,SPD,9.0,95912,0.938360163483193
2024-04,GRUENE–>FDP,FDP,6.0,51429,1.1666569445254622
2024-04,GRUENE–>SPD,SPD,25.0,95912,2.606556009675536
2024-04,SPD–>FDP,FDP,6.0,51429,1.1666569445254622
2024-04,SPD–>GRUENE,GRUENE,14.0,62396,2.2437335726649144
2024-05,FDP–>GRUENE,GRUENE,4.0,35868,1.1152001784320287
2024-05,FDP–>SPD,SPD,2.0,54476,0.36713415081870915
2024-05,GRUENE–>FDP,FDP,9.0,28062,3.2071840923669015
2024-05,GRUENE–>SPD,SPD,15.0,54476,2.753506131140319
2024-05,SPD–>FDP,FDP,9.0,28062,3.2071840923669015
2024-05,SPD–>GRUENE,GRUENE,5.0,35868,1.3940002230400357
2024-06,FDP–>GRUENE,GRUENE,8.0,94095,0.8502045804771774
2024-06,FDP–>SPD,SPD,14.0,156005,0.8974071343867184
2024-06,GRUENE–>FDP,FDP,4.0,69339,0.5768759284096973
2024-06,GRUENE–>SPD,SPD,52.0,156005,3.3332264991506686
2024-06,SPD–>FDP,FDP,8.0,69339,1.1537518568193945
